Transition-L	S-L	C-L	Transition-H	S-H	C-H
'y11'	588	328	'y12'	0	145
'y10'	3532	1358	'y11'	346	236
'y9'	1525	728	'y10'	2152	701
'y8'	22913	6926	'y9'	554	181
'y7'	48907	14857	'y8'	17104	4227
'y6'	18961	6557	'y7'	36116	8743
'y5'	43957	15275	'y6'	13438	4119
'y4'	22449	7357	'y5'	32779	8264
'y3'	39770	17222	'y4'	18269	5248
'y2'	36189	18169	'y3'	31040	13013
'y11+2'	4971	2869	'y2'	11702	4755
'y10+2'	2619	973	'y11+2'	4286	1658
'y9+2'	658	1218	'y10+2'	1579	452
'y8+2'	6083	1597	'y9+2'	1598	1499
'y7+2'	4763	2047	'y8+2'	4311	882
'y3+2'	8628	5753	'y7+2'	5052	1470
'y2+2'	0	0	'y3+2'	2032	1394
'b2'	19879	8521	'y2+2'	0	0
'b3'	4266	1412	'b2'	15854	5328
'b4'	3094	2250	'b3'	3600	2854
'b5'	1176	4137	'b4'	2602	1509
'b7'	553	422	'b5'	773	1469
'b11'	103	0	'b7'	1319	313
'b4+2'	435	5411	'b11'	0	226
'b7+2'	724	517	'b4+2'	216	235
'y12'	0	0	'b7+2'	2826	1618
