mass	carbons	int0	int1	int2	int3	int4	int5	int6	int7	int8	int9
705	30.2136062265783	1	0.384911093110407	0.0972574231767079	0.0182818382819256	0.0028501669068896	0.000379885557797637	4.49639665609684e-005	4.84923609109259e-006	5.00144133756129e-007	5.99596425482848e-008
715	30.8191520046149	1	0.392992876261899	0.0993956034035192	0.0187154603403519	0.00290660051918084	0.000386481684453418	4.56244591866166e-005	4.90193250648982e-006	5.32448802999715e-007	5.0764349581771e-008
725	31.7092558983666	1	0.402852642105263	0.104123645372051	0.0199361862068966	0.00317161560798547	0.000434078765880219	5.30776769509982e-005	5.99382940108896e-006	6.27223230490021e-007	5.8076225045372e-008
735	31.4816223067174	1	0.401142326996199	0.107528425855513	0.0213962408111533	0.00354165082382764	0.000502637515842839	6.34401140684408e-005	7.38371356147033e-006	7.96577946768068e-007	9.63244613434726e-008
745	32.0891148325359	1	0.408887447966509	0.107877040669856	0.0211629614234449	0.00342892613636364	0.000476524820574164	5.82637559808613e-005	6.54934210526328e-006	6.8899521531101e-007	6.81818181818181e-008
755	32.8382656572608	1	0.417635135581555	0.111058728492774	0.0219547907777013	0.0035888238128011	0.000504789745354438	6.38596008258774e-005	7.39332415691686e-006	8.25877494838273e-007	6.88231245698554e-008
765	33.2644978783593	1	0.422418457213579	0.117375701909477	0.024213818953324	0.00414665983026874	0.000608903818953323	7.95873408769449e-005	9.57425742574275e-006	1.0385431400283e-006	1.05021216407355e-007
775	33.3098016336056	1	0.424496963243873	0.116810279171529	0.0239044124854143	0.00404922257876313	0.000587511085180864	7.56829054842471e-005	8.94894982497106e-006	9.54492415402577e-007	1.06476079346558e-007
785	33.9741492146597	1	0.432776236256543	0.119094186191099	0.0244071688481675	0.00413133017015708	0.000599587041884818	7.73897251308897e-005	9.32624345549758e-006	9.52225130890062e-007	1.10274869109947e-007
795	34.6835581480131	1	0.44023894713817	0.124273884797667	0.0260067232956617	0.00450071199416696	0.000669282537367846	8.76190302588407e-005	1.05056507473571e-005	1.18519868756837e-006	1.37076193948232e-007
805	34.6779920416284	1	0.441324461891644	0.125913874808693	0.0267152206917661	0.00469604101622285	0.000710157024793389	9.45384144475055e-005	1.16256504438324e-005	1.35537190082646e-006	1.39577594123048e-007
815	35.3616759088108	1	0.449734252310536	0.127892525261861	0.0270476115218731	0.00470684812076402	0.000700861675908812	9.17597042513865e-005	1.1118607516944e-005	1.26432532347506e-006	1.14294516327788e-007
825	36.0984402079723	1	0.458537260311959	0.131893430155979	0.028163662391681	0.00495673622183709	0.000747395493934143	0.00010094280762565	1.21740034662046e-005	1.46620450606587e-006	1.74003466204506e-007
835	36.0978112175103	1	0.458774821819425	0.135249920656635	0.0296417373461012	0.00536491689466483	0.000827820451436386	0.000114565321477428	1.39268125854993e-005	1.59473324213407e-006	1.82284541723666e-007
845	36.57790805307	1	0.465306887380439	0.135964453563715	0.029525928725702	0.00527334526380747	0.000804916075285406	0.000108608762727553	1.3306386917618e-005	1.43782783091639e-006	1.47793890774452e-007
855	37.4326086956522	1	0.475047007246376	0.140093001811594	0.030702138768116	0.00552644275362319	0.000853086594202897	0.000116840217391304	1.47637681159421e-005	1.69239130434783e-006	1.90217391304348e-007
865	37.745348412988	1	0.478896955125866	0.144978277271069	0.0325651517694272	0.00603622437066763	0.000954602334914266	0.000135460780736957	1.72243706676395e-005	2.01568770521707e-006	2.42247354979934e-007
875	37.8553797468354	1	0.481318696835442	0.146275531962025	0.0330597708860759	0.00615066803797467	0.000976975632911391	0.000137405696202532	1.73841772151899e-005	1.95949367088606e-006	1.76582278481012e-007
885	38.4958197019266	1	0.489456390039985	0.150098503089786	0.0342307124681934	0.0064212860777899	0.00103024245728826	0.000146650672482733	1.93300617957107e-005	2.27662668120682e-006	2.33733187931661e-007
895	39.1392543859649	1	0.496569010599415	0.154982473318713	0.0358865014619883	0.00683966812865497	0.00111666191520468	0.000162179459064328	2.12478070175439e-005	2.42397660818712e-006	2.36476608187134e-007
905	39.1868243243243	1	0.497956992567567	0.156578626013514	0.0365957263513514	0.00703910540540541	0.00115688648648649	0.000169188513513514	2.26668918918919e-005	2.65236486486484e-006	3.1554054054054e-007
915	39.8223637650389	1	0.505612928520877	0.158127564401982	0.0367323414720453	0.00699783510261856	0.00113964118895966	0.000164815286624204	2.17770700636943e-005	2.55414012738851e-006	2.56192498230714e-007
925	40.4560211400528	1	0.513528056625141	0.163091270668176	0.0383896783691959	0.00741737561343904	0.0012282114005285	0.000181111740279351	2.40064175160438e-005	2.92940732351828e-006	2.74820687051717e-007
935	40.5397788084195	1	0.515287247235106	0.168912960756332	0.0411552657866572	0.00829677702461649	0.00143438244737781	0.000221993578308955	3.09554049232963e-005	3.88869068854801e-006	4.22404566535855e-007
945	41.0858567866049	1	0.521660477734237	0.167764381546135	0.0400388175988599	0.00782403633772709	0.00130651941574635	0.000194182044887781	2.58054862842892e-005	3.11934449590309e-006	3.29177057356608e-007
955	41.6806379821958	1	0.52929653264095	0.174322233308606	0.0426077726261127	0.00856242841246291	0.00147281973293769	0.000225213278931751	3.10226261127594e-005	4.07010385756679e-006	4.92952522255194e-007
965	42.1420301042069	1	0.534363245851022	0.177903140486299	0.043955475492088	0.00892700231570824	0.00155416904670011	0.000239290235430336	3.3688537244307e-005	4.10922423774606e-006	4.78193747587805e-007
975	42.4550418638515	1	0.538859425555152	0.179034755005461	0.0441108638514744	0.0089150942846742	0.0015377877684747	0.000236485984710593	3.24612304331997e-005	4.21769202766657e-006	4.09173643975246e-007
985	43.0498275201227	1	0.546115805672671	0.182287867382139	0.0450892836335762	0.00913712418551169	0.00158271751628976	0.00024344883096972	3.42985818321194e-005	4.38175546186281e-006	4.87926408585666e-007
995	43.5929421419778	1	0.552628602379976	0.187975459991793	0.0473740135412392	0.00979887771850636	0.00173492531801395	0.000271258514567091	3.83643824374229e-005	5.23717685679118e-006	6.13869511694708e-007
1005	43.577038145101	1	0.553589497008227	0.190342249065071	0.0485496002243829	0.0101687419596111	0.00182276664173523	0.00028906918474196	4.12356020942406e-005	5.58152580403893e-006	6.38369483919224e-007
1015	44.280162842339	1	0.56230423242043	0.192366137675796	0.048716125092524	0.0100951450777202	0.00178977054034049	0.000281682457438934	4.01746854182086e-005	5.43005181347153e-006	6.339748334567e-007
1025	44.7838827838828	1	0.568096682539683	0.198299978021978	0.0512589877899878	0.0108748091168092	0.00197669515669516	0.000318656084656085	4.58319088319087e-005	6.41880341880343e-006	7.03296703296705e-007
1035	44.9830320914792	1	0.571064484691996	0.200744594245666	0.0523007285134636	0.0111633017336776	0.00203800737735153	0.00033089339727038	4.79022500922168e-005	6.60272962006643e-006	8.5023976392475e-007
1045	45.4644727000748	1	0.576905296933433	0.20299652131638	0.0529078814510097	0.0112988721017203	0.00206753702318624	0.000335916978309648	4.89779356768884e-005	7.00411368735981e-006	9.05011219147343e-007
1055	46.1203164029975	1	0.585030680266445	0.207922559950042	0.0547290566194837	0.0117759646128226	0.00217340008326395	0.000354052872606162	5.25686927560366e-005	7.2456286427977e-006	9.26311407160698e-007
1065	46.5773480662983	1	0.590324375295974	0.212906829913181	0.0568266740331491	0.0124043456985004	0.00232094277821626	0.000384181925808998	5.78504340962903e-005	8.28097868981852e-006	1.07300710339384e-006
1075	46.8265465935787	1	0.594119587314016	0.215185535238842	0.0577079205168365	0.0126369107282694	0.00236864839467502	0.000389809710258418	5.83574784651527e-005	8.53093187157408e-006	1.04659357870007e-006
1085	47.5329292929293	1	0.602260686868686	0.21841085050505	0.0585074832323232	0.0127804658585859	0.0023880395959596	0.000392236767676768	5.89923232323234e-005	8.24686868686874e-006	1.06787878787878e-006
1095	48.0598463404772	1	0.608925105135462	0.224902799029518	0.0613807618277396	0.0136811670036393	0.00260742054185199	0.000439044884755358	6.75612616255559e-005	9.83057015770329e-006	1.26688232915486e-006
1105	48.0157418339236	1	0.609071500983865	0.225379099173554	0.0617033616686345	0.0137926682408501	0.00263759071231798	0.000445426997245179	6.81664698937424e-005	9.98189689098792e-006	1.24163715072805e-006
1115	48.6934097421203	1	0.61681355914859	0.228152608268522	0.0623373577568564	0.0138735550552599	0.00263425910765452	0.00044248587801883	6.70159639787148e-005	9.75440032746633e-006	1.27752762996315e-006
1125	49.0857261756138	1	0.622327850603411	0.234399661672909	0.0652596125676237	0.0148388431127756	0.00288104577611319	0.000495968372867249	7.69608822305452e-005	1.17553058676655e-005	1.44777361631293e-006
1135	49.6155800169348	1	0.629075918289587	0.241148046994073	0.0683889280270959	0.0158462747671465	0.00314334292972058	0.00055157747671465	8.72383573243015e-005	1.32650296359019e-005	1.78916172734969e-006
1145	49.976368159204	1	0.633390834991708	0.240694491708126	0.0675296372305141	0.0154284581260365	0.00300661815920398	0.000517772802653399	8.04137645107794e-005	1.19042288557215e-005	1.61194029850744e-006
1155	50.7091722595078	1	0.642140845190156	0.246494720805369	0.0697917624161074	0.0160902832214765	0.00316013154362416	0.000548608053691275	8.60782997762862e-005	1.2860850111857e-005	1.662192393736e-006
1165	51.1405605935697	1	0.647682769167357	0.2509119286892	0.0716070610057709	0.0166466677658698	0.00330241920857379	0.000578457543281121	9.21830173124487e-005	1.39291014014841e-005	1.73536685902719e-006
1175	51.3164926931106	1	0.649930632150312	0.253465924425887	0.0729931549060542	0.017109382045929	0.00342074112734865	0.000600670981210856	9.6019624217119e-005	1.46910229645096e-005	1.86263048016699e-006
