mass	low1_0.01	high1_0.01	low2_0.01	high2_0.01	low3_0.01	high3_0.01	low4_0.01	high4_0.01	low5_0.01	high5_0.01
725	0.4135	1.6875	0	3.2235	0	12.0015	0	67.1545	0	483.273
775	0.433666667	1.676	0	3.129	0	11.20733333	0	61.025	0	427.245
825	0.477	1.644666667	0	2.913	0	9.557666667	0	48.73933333	0	323.8333333
875	0.5	1.616	0	2.733666667	0	8.300666667	0	40.266	0	249.0786667
925	0.520666667	1.588666667	0	2.564	0	7.190333333	0	33.115	0	194.0823333
975	0.538333333	1.572	0	2.420666667	0	6.382666667	0	27.824	0	153.958
1025	0.561333333	1.556333333	0	2.305	0	5.728333333	0	23.267	0	123.578
1075	0.578666667	1.538666667	0	2.203	0	5.212	0	19.85566667	0	101.1963333
1125	0.592333333	1.524	0.022	2.114	0	4.714333333	0	17.23166667	0	83.94933333
1175	0.606333333	1.507666667	0.072333333	2.044333333	0	4.306666667	0	14.81366667	0	70.498
1225	0.622666667	1.494666667	0.136333333	1.974666667	0	3.955666667	0	12.84266667	0	58.629
1275	0.632333333	1.477	0.196333333	1.913	0	3.703666667	0	11.24466667	0	48.963
1325	0.640666667	1.464666667	0.241333333	1.86	0	3.457666667	0	10.027	0	41.39533333
1375	0.649333333	1.459	0.290666667	1.813333333	0	3.240333333	0	9.029	0	36.033
1425	0.658666667	1.461	0.335	1.775333333	0	3.026333333	0	8.089333333	0	31.04666667
1475	0.667666667	1.451	0.378333333	1.736666667	0	2.863333333	0	7.317	0	26.89033333
1525	0.673333333	1.440666667	0.411666667	1.704	0	2.705333333	0	6.548333333	0	22.95933333
1575	0.681	1.424666667	0.439333333	1.679666667	0	2.597333333	0	5.969	0	19.77933333
1625	0.685333333	1.421666667	0.463	1.655	0	2.481666667	0	5.436666667	0	17.464
1675	0.689666667	1.419666667	0.485333333	1.634	0	2.366333333	0	5.047	0	15.71666667
1725	0.695666667	1.415333333	0.507	1.600666667	0	2.253	0	4.641333333	0	14.164
1775	0.699333333	1.41	0.532666667	1.574333333	0.003333333	2.169	0	4.268666667	0	12.72233333
1825	0.705	1.396666667	0.552	1.552333333	0.032333333	2.106	0	3.959333333	0	11.30766667
1875	0.707	1.393333333	0.571333333	1.537333333	0.072333333	2.054	0	3.725	0	10.24166667
1925	0.713333333	1.394666667	0.583	1.524666667	0.135666667	1.985	0	3.527	0	9.198
1975	0.720666667	1.396666667	0.596333333	1.507	0.187666667	1.933	0	3.299666667	0	8.348666667
2025	0.722857143	1.385714286	0.605428571	1.499285714	0.234571429	1.894857143	0	3.147714286	0	7.706857143
2075	0.726714286	1.384	0.618714286	1.486285714	0.279142857	1.852285714	0	2.974428571	0	7.003
2125	0.730428571	1.379142857	0.629714286	1.477285714	0.326571429	1.809571429	0	2.826428571	0	6.371
2175	0.734142857	1.373142857	0.639428571	1.467428571	0.363	1.768285714	0	2.687142857	0	5.827
2225	0.736285714	1.371857143	0.649714286	1.459714286	0.394428571	1.739428571	0	2.575428571	0	5.361714286
2275	0.738142857	1.369714286	0.656571429	1.454714286	0.420857143	1.713142857	0	2.463714286	0	4.969
2325	0.740428571	1.364857143	0.664857143	1.447428571	0.446285714	1.684857143	0.000142857	2.375	0	4.594
2375	0.742285714	1.364285714	0.672428571	1.437142857	0.469714286	1.657428571	0.007142857	2.300714286	0	4.278142857
2425	0.743714286	1.364857143	0.678	1.429857143	0.489428571	1.637857143	0.024857143	2.227142857	0	4.017714286
2475	0.746857143	1.365571429	0.684714286	1.426285714	0.504428571	1.617428571	0.055	2.158714286	0	3.781428571
2525	0.748142857	1.366	0.691857143	1.423142857	0.519714286	1.607714286	0.088571429	2.101857143	0	3.578571429
2575	0.75	1.362	0.695	1.415	0.537142857	1.588571429	0.124285714	2.045	0	3.389571429
2625	0.753428571	1.361	0.701571429	1.411571429	0.553142857	1.574	0.168285714	1.994	0	3.200857143
2675	0.755	1.365	0.706142857	1.409857143	0.567571429	1.567714286	0.217	1.963857143	0	3.054571429
2725	0.755857143	1.361285714	0.709428571	1.408857143	0.580142857	1.560142857	0.264714286	1.920285714	0	2.919857143
2775	0.758142857	1.358285714	0.712285714	1.407714286	0.594	1.551	0.301714286	1.884571429	0	2.795571429
2825	0.758285714	1.358285714	0.714285714	1.403428571	0.605714286	1.544857143	0.332285714	1.850142857	0	2.680857143
2875	0.760714286	1.353714286	0.716285714	1.396285714	0.617714286	1.530857143	0.362714286	1.820142857	0	2.565857143
